File,Duration,Character,Action,Speak
00000 (0x0163).dsp.wav,1.488750,Daisy,win,"Yeah, i got it (win)",,X
00001 (0x0164).dsp.wav,1.993750,Daisy,loose,Aww mann (loose),,X
00002 (0x0165).dsp.wav,0.848750,Daisy,something good,Yeah!,,X
00003 (0x0166).dsp.wav,1.324000,Daisy,fall/die,AAhhhh! (falling),,X
00004 (0x0167).dsp.wav,1.706400,Daisy,win2,Oh yeah! I won!,,X
00005 (0x0168).dsp.wav,1.018550,Daisy,landing on good,Yahoo,,X,Make better
00006 (0x0169).dsp.wav,0.876300,Daisy,yes,Yess,,X,
00007 (0x016A).dsp.wav,0.609300,Daisy,damage1_long,Woah (falling),,X,
00008 (0x016B).dsp.wav,0.417700,Daisy,damage2_mid,Oh! (damage),,X,
00009 (0x016E).dsp.wav,0.686200,Daisy,damage3_short,Ouch,,X,
00010 (0x016F).dsp.wav,0.635400,Daisy,sad1,Aww... (sad),,X,
00011 (0x0170).dsp.wav,0.928550,Daisy,sad2,Oh no (unhappy),,X,
00012 (0x0171).dsp.wav,1.186900,Daisy,chosen,Let's party,,X,
00013 (0x0172).dsp.wav,0.171600,Daisy,a!,a!,,X,
00014 (0x0173).dsp.wav,1.573061,Daisy,taunt,You know I'll win,,X,
00015 (0x0177).dsp.wav,0.192050,Daisy,jump1,Ho! (jumping),,X,
00016 (0x0178).dsp.wav,0.254800,Daisy,jump2,Woa! (jumping),,X,
00017 (0x0179).dsp.wav,0.223250,Daisy,jump3,Yea! (jumping),,X,
00018 (0x0199).dsp.wav,1.851200,Toad,win,"Yeah, i got it",,,
00019 (0x019A).dsp.wav,2.072150,Toad,loose,"aw, how sad..",,,
00020 (0x019B).dsp.wav,0.587500,Toad,something good,Yeah!,,,
00021 (0x019C).dsp.wav,1.563250,Toad,fall/die,woaaaaaaah (falling),,,
00022 (0x019D).dsp.wav,1.979200,Toad,win2,woahaha I'm the winner,,,
00023 (0x019E).dsp.wav,0.806650,Toad,something good2,Woaha!,,,
00024 (0x019F).dsp.wav,0.664400,Toad,yes,Yess,,,
00025 (0x01A0).dsp.wav,0.635400,Toad,damage1_long,Woah (falling??),,,
00026 (0x01A1).dsp.wav,0.327000,Toad,damage2_mid,Ah!,,,
00027 (0x01A4).dsp.wav,0.187350,Toad,damage3_short,Ouh ,,,
00028 (0x01A5).dsp.wav,0.920000,Toad,sad1,Oooohhh....,,,
00029 (0x01A6).dsp.wav,0.343700,Toad,sad2,ah,,,
00030 (0x01A7).dsp.wav,1.125900,Toad,chosen,Good choice,,,
00031 (0x01A8).dsp.wav,0.168450,Toad,a!,au,,,
00032 (0x01A9).dsp.wav,0.896780,Toad,taunt,bleeeh,,,
00033 (0x01AD).dsp.wav,0.297250,Toad,jump1,hah,,,
00034 (0x01AE).dsp.wav,0.267500,Toad,jump2,hoh,,,
00035 (0x01AF).dsp.wav,0.250100,Toad,jump3,yah,,,
00036 (0x01B3).dsp.wav,1.747050,Toadette,win,,,,
00037 (0x01B4).dsp.wav,1.561300,Toadette,loose,,,,
00038 (0x01B5).dsp.wav,0.699250,Toadette,something good,,,,
00039 (0x01B6).dsp.wav,1.268150,Toadette,fall/die,,,,
00040 (0x01B7).dsp.wav,2.247600,Toadette,win2,,,,
00041 (0x01B8).dsp.wav,0.912600,Toadette,something good2,,,,
00042 (0x01B9).dsp.wav,0.375650,Toadette,yes,yea,,,
00043 (0x01BA).dsp.wav,0.462700,Toadette,damage1_long,,,,
00044 (0x01BB).dsp.wav,0.494650,Toadette,damage2_mid,,,,
00045 (0x01BE).dsp.wav,0.225400,Toadette,damage3_short,,,,
00046 (0x01BF).dsp.wav,1.038100,Toadette,sad1,,,,
00047 (0x01C0).dsp.wav,0.525100,Toadette,sad2,,,,
00048 (0x01C1).dsp.wav,1.030150,Toadette,chosen,,,,
00049 (0x01C2).dsp.wav,0.340800,Toadette,a!,,,,
00050 (0x01C3).dsp.wav,0.870658,Toadette,taunt,,,,
00051 (0x01C7).dsp.wav,0.276200,Toadette,jump1,,,,
00052 (0x01C8).dsp.wav,0.324100,Toadette,jump2,,,,
00053 (0x01C9).dsp.wav,0.201500,Toadette,jump3,,,,
00054 (0x01D0).dsp.wav,1.898000,Luigi,win,,,,
00055 (0x01D1).dsp.wav,2.033300,Luigi,loose,,,,
00056 (0x01D2).dsp.wav,1.169450,Luigi,something good,,,,
00057 (0x01D3).dsp.wav,0.822600,Luigi,fall/die,,,,
00058 (0x01D4).dsp.wav,1.561300,Luigi,win2,,,,
00059 (0x01D5).dsp.wav,0.943050,Luigi,something good2,,,,
00060 (0x01D6).dsp.wav,0.557050,Luigi,yes,yess,,,
00061 (0x01D7).dsp.wav,0.784900,Luigi,damage1_long,,,,
00062 (0x01D8).dsp.wav,0.398100,Luigi,damage2_mid,,,,
00063 (0x01DB).dsp.wav,0.577350,Luigi,damage3_short,,,,
00064 (0x01DC).dsp.wav,0.919850,Luigi,sad1,,,,
00065 (0x01DD).dsp.wav,1.303250,Luigi,sad2,,,,
00066 (0x01DE).dsp.wav,1.337800,Luigi,chosen,,,,
00067 (0x01DF).dsp.wav,0.211000,Luigi,a!,,,,
00068 (0x01E0).dsp.wav,2.112925,Luigi,taunt,,,,
00069 (0x01E4).dsp.wav,0.216000,Luigi,jump1,,,,
00070 (0x01E5).dsp.wav,0.284550,Luigi,jump2,,,,
00071 (0x01E6).dsp.wav,0.211250,Luigi,jump3,,,,
00072 (0x01E8).dsp.wav,2.131650,Mario,win,,,,
00073 (0x01E9).dsp.wav,2.780450,Mario,loose,,,,
00074 (0x01EA).dsp.wav,1.034500,Mario,something good,,,,
00075 (0x01EB).dsp.wav,1.462600,Mario,fall/die,,,,
00076 (0x01EC).dsp.wav,2.072150,Mario,win2,,,,
00077 (0x01ED).dsp.wav,0.915500,Mario,something good2,,,,
00078 (0x01EE).dsp.wav,0.694900,Mario,yes,,,,
00079 (0x01EF).dsp.wav,1.020000,Mario,damage1_long,,,,
00080 (0x01F0).dsp.wav,0.640500,Mario,damage2_mid,,,,
00081 (0x01F3).dsp.wav,0.422050,Mario,damage3_short,,,,
00082 (0x01F4).dsp.wav,0.480100,Mario,sad1,,,,
00083 (0x01F5).dsp.wav,0.588950,Mario,sad2,,,,
00084 (0x01F6).dsp.wav,1.329100,Mario,chosen,,,,
00085 (0x01F7).dsp.wav,0.398850,Mario,a!,,,,
00086 (0x01F8).dsp.wav,1.073832,Mario,taunt,,,,
00087 (0x01FC).dsp.wav,0.226850,Mario,jump1,,,,
00088 (0x01FD).dsp.wav,0.256250,Mario,jump2,,,,
00089 (0x01FE).dsp.wav,0.198550,Mario,jump3,,,,
00090 (0x0201).dsp.wav,2.292050,Koopa,win,,,,
00091 (0x0202).dsp.wav,1.462400,Koopa,loose,,,,
00092 (0x0203).dsp.wav,0.748100,Koopa,something good,,,,
00093 (0x0204).dsp.wav,1.909650,Koopa,fall/die,,,,
00094 (0x0205).dsp.wav,1.082200,Koopa,win2,,,,
00095 (0x0206).dsp.wav,1.724850,Koopa,something good2,,,,
00096 (0x0207).dsp.wav,0.716050,Koopa,yes,,,,
00097 (0x0208).dsp.wav,0.514300,Koopa,damage1_long,,,,
00098 (0x0209).dsp.wav,0.438300,Koopa,damage2_mid,,,,
00099 (0x020A).dsp.wav,0.228300,Koopa,damage3_short,,,,
00100 (0x020D).dsp.wav,0.632000,Koopa,???????,,,,
00101 (0x020E).dsp.wav,1.199000,Koopa,sad1,,,,
00102 (0x020F).dsp.wav,0.816900,Koopa,sad2,,,,
00103 (0x0210).dsp.wav,0.716250,Koopa,chosen,,,,
00104 (0x0211).dsp.wav,0.244200,Koopa,a!,,,,
00105 (0x0212).dsp.wav,1.567200,Koopa,taunt,,,,
00106 (0x0216).dsp.wav,0.222300,Koopa,jump1,,,,
00107 (0x0217).dsp.wav,0.229150,Koopa,jump2,,,,
00108 (0x0218).dsp.wav,0.229150,Koopa,jump3,,,,
00109 (0x0227).dsp.wav,2.057600,Peach,win,,,,
00110 (0x0228).dsp.wav,1.773450,Peach,loose,,,,
00111 (0x0229).dsp.wav,0.966300,Peach,something good,,,,
00112 (0x022A).dsp.wav,1.555500,Peach,fall/die,,,,
00113 (0x022B).dsp.wav,2.321750,Peach,win2,,,,
00114 (0x022C).dsp.wav,0.925650,Peach,something good2,,,,
00115 (0x022D).dsp.wav,0.816800,Peach,yes,nice,,,
00116 (0x022E).dsp.wav,0.722450,Peach,damage1_long,,,,
00117 (0x022F).dsp.wav,0.806650,Peach,damage2_mid,,,,
00118 (0x0232).dsp.wav,0.494650,Peach,damage3_short,,,,
00119 (0x0233).dsp.wav,1.320400,Peach,sad1,,,,
00120 (0x0234).dsp.wav,0.856000,Peach,sad2,,,,
00121 (0x0235).dsp.wav,1.256550,Peach,chosen,,,,
00122 (0x0236).dsp.wav,0.374250,Peach,a!,,,,
00123 (0x0237).dsp.wav,0.949025,Peach,taunt,,,,
00124 (0x023B).dsp.wav,0.389400,Peach,jump1,,,,
00125 (0x023C).dsp.wav,0.356050,Peach,jump2,,,,
00126 (0x023D).dsp.wav,0.241400,Peach,jump3,,,,
00127 (0x0241).dsp.wav,0.237000,N/A,??????? beep,,,,
00128 (0x0242).dsp.wav,2.321150,Boo,win,,,,
00129 (0x0243).dsp.wav,1.098050,Boo,loose,,,,
00130 (0x0244).dsp.wav,0.481800,Boo,something good,,,,
00131 (0x0245).dsp.wav,1.075600,Boo,fall/die,,,,
00132 (0x0246).dsp.wav,0.711250,Boo,win2,,,,
00133 (0x0247).dsp.wav,0.440550,Boo,something good2,,,,
00134 (0x0248).dsp.wav,0.440550,Boo,yes,,,,
00135 (0x0249).dsp.wav,0.406100,Boo,damage1_long,,,,
00136 (0x024A).dsp.wav,0.263100,Boo,damage2_mid,,,,
00137 (0x024D).dsp.wav,0.335100,Boo,damage3_short,,,,
00138 (0x024E).dsp.wav,0.737750,Boo,sad1,,,,
00139 (0x024F).dsp.wav,0.469300,Boo,sad2,,,,
00140 (0x0250).dsp.wav,0.711450,Boo,chosen,,,,
00141 (0x0251).dsp.wav,0.146450,Boo,a!,,,,
00142 (0x0252).dsp.wav,2.312350,Boo,taunt,,,,
00143 (0x0256).dsp.wav,0.162750,Boo,jump1,,,,
00144 (0x0257).dsp.wav,0.173500,Boo,jump2,,,,
00145 (0x0258).dsp.wav,0.190100,Boo,jump3,,,,
00146 (0x025E).dsp.wav,1.915400,Wario,win,,,,
00147 (0x025F).dsp.wav,1.411800,Wario,loose,,,,
00148 (0x0260).dsp.wav,1.416150,Wario,something good,,,,
00149 (0x0261).dsp.wav,1.273950,Wario,fall/die,,,,
00150 (0x0262).dsp.wav,3.151850,Wario,win2,,,,
00151 (0x0263).dsp.wav,0.654250,Wario,something good2,,,,
00152 (0x0264).dsp.wav,1.047550,Wario,yes,yeah,,,
00153 (0x0265).dsp.wav,0.610750,Wario,damage1_long,,,,
00154 (0x0266).dsp.wav,0.294350,Wario,damage2_mid,,,,
00155 (0x0269).dsp.wav,0.205850,Wario,damage3_short,,,,
00156 (0x026A).dsp.wav,1.587400,Wario,sad1,,,,
00157 (0x026B).dsp.wav,0.916950,Wario,sad2,,,,
00158 (0x026C).dsp.wav,1.958950,Wario,chosen,,,,
00159 (0x026D).dsp.wav,0.261700,Wario,a!,,,,
00160 (0x026E).dsp.wav,1.143492,Wario,taunt,,,,
00161 (0x0272).dsp.wav,0.235600,Wario,jump1,,,,
00162 (0x0273).dsp.wav,0.197100,Wario,jump2,,,,
00163 (0x0274).dsp.wav,0.200000,Wario,jump3,,,,
00164 (0x0277).dsp.wav,1.833450,Waluigi,win,,,,
00165 (0x0278).dsp.wav,1.944400,Waluigi,loose,,,,
00166 (0x0279).dsp.wav,2.751300,Waluigi,something good,,,,
00167 (0x027A).dsp.wav,0.934850,Waluigi,fall/die,,,,
00168 (0x027B).dsp.wav,3.056236,Waluigi,win2,,,,
00169 (0x027C).dsp.wav,1.096900,Waluigi,something good2,,,,
